question,answer
You have made peace with the slavers?, We offered terms.
Do not use me for your lies., Those men respect you.
They respect me because they know who I am. They know I am loyal., As do I.
"I am loyal to my queen, not you. If you betray her work, you are my enemy.", I am not betraying her work. I am trying to save her city.
You promised the slavers they could keep slavery., For a short time.
Seven years is not a short time for a slave., You’re right. Slavery is a horror that should be ended at once. War is a horror that should be ended at once. I can’t do both today.
You are wrong to trust these men., I don’t trust the Masters. I trust their self-interest. They’re trustworthy if they’re convinced that working with me is in their self-interest.
You don’t know them. You don’t understand them. We are not human in their eyes. They look at me and see a weapon. They look at her and see a whore., They look at me and they see a misshapen little beast. Their contempt is their weakness. They’ll underestimate us every time and we will use that to our advantage.
For now is the best we get in our profession., It’s not enough.
"Considering the city was on the brink of civil war, I’d say it’s a good start."," It’s not enough for Meereen to have peace. They need to know Daenerys is responsible for it. The Sons of the Harpy have a good story. Resist the foreign invaders. Our queen has an even better story. Mother of Dragons, Breaker of Chains and...all that."
The people know who brought them freedom.," Yes, but do they know who brought them security? Who brought about an end to the violence? We need someone the people trust, someone they know who cannot be bought or influenced."
Sounds like quite the hero. Where would we find him?, Who said anything about “him”?
Daenerys Stormborn is the one who was promised. From the fire she was reborn to remake the world., Yes.
She has freed the slaves from their chains and crucified the Masters for their sins., She did indeed.
"Her dragons are fire made flesh, a gift from the Lord of Light. But you heard all this before, haven’t you? On the Long Bridge of Volantis. The dragons will purify nonbelievers by the thousands, burning their sins and flesh away.", Ideally we’d avoid purifying too many nonbelievers. The Mother of Dragons has followers of many different faiths.
"You want your queen to be worshipped and obeyed. And while she’s gone, you want her advisors to be worshipped and obeyed.", I’d settle for obeyed.
I will summon my most eloquent priests. They will spread the word. Daenerys has been sent to lead the people against the darkness in this war and in the great war still to come., That sounds most excellent --
"A man named Stannis Baratheon was anointed as the chosen one by one of your priestesses. He, too, had a glorious destiny. He attacked King’s Landing and was soundly defeated by the man standing beside me. Last I had heard, he’d been defeated again, this time at Winterfell and this time for good.", We’d be most grateful for any support you could provide the queen.
"And you, an honest servant of the lord, why should I trust you to know any more than the priestess who counseled Stannis?"," My friend has a healthy skepticism of religion, but we are all loyal supporters of the queen."
Would you?, Look around. The city has come back to life.
You made a pact with fanatics., I did and it worked.
"If you shaved your beard with a straight razor, you’d say the razor worked. That doesn’t mean it won’t cut your throat.", Spoken like a man who has never had to shave.
I know., I hope you’re right about this expedition of yours.
You seem happy.," I am happy. You should both be as well. Not so long ago, this city was ready to devour itself."
I will be happy when our queen returns., Why don’t you drink? Why don’t either of you ever drink?
Unsullied never drink., Why not?
Rules., And who made these rules? Your former masters?
I have tried wine before. It made me feel funny., That’s how you know it’s working.
I do not know any jokes., Grey worm?
"The Starks and the lannisters, i thought these were enemies.", Yes.
"A joke is like a story, Torgo Nudho. Not a true story, necessarily."," A story that’s supposed to make you laugh, ideally. Not at the moment, perhaps."
I do., Tell a joke.
I am soldier all my life. You think I never hear joke?, You lied to us.
More jokes., I once walked into a brothel with a honeycomb and a jackass. The madam says- -
That changes nothing., The Unsullied could mount a defense off the beachhead. If the slavers’ forces- -
No more talking from you. Your talking gave us this., And I have acknowledged that. I’m trying- -
You’re trying to tell me what the army should do. You do not know what the army should do.," All right, what should the army do?"
"We’ll not go to the beach. If we go to the beach, the Masters will take the pyramid. The pyramid is the only place in the city we can defend. We stay here.", And then?
The city is on the rise?, Meereen is strong. Commerce has returned to the markets. The people are behind you.
Good. Shall we begin?, Do we have a plan?
You don’t approve?, You once told me you knew what your father was. Did you know his plans for King’s Landing when the Lannister armies were at his gates?
This is entirely different., You’re talking about destroying cities. It’s not entirely different. I’d like to suggest an alternate approach.
"Once before, I offered you peace. If you had not been so arrogant, you could have returned to your homeland with a fleet of ships. Instead, you will flee Slaver’s Bay on foot like the beggar queen you are."," We are here to discuss terms of surrender, not to trade insults."
Our queen insists that one of you must die as punishment for your crimes.," It always seems a bit abstract, doesn’t it, other people dying?"
It was a long time ago.," It was. And how have things been going for you since then? Not so well, I gather. Can’t imagine you would have murdered the Stark boys if things had been going well."
And he paid for them.," Doesn’t seem like it. He’s still alive. It was complicated for you, I’m sure, growing up at Winterfell. Never quite knowing who you were. But then, we all live complicated lives, don’t we?"
I’m not fit to rule., We can agree upon that at least.
Will their ships be enough?," With the former Masters’ fleet, possibly. Barely. There are more than 100 ships in the Iron Fleet."
He murdered our father and would have murdered us. He’ll murder you as soon as you have what he wants., The Seven Kingdoms.
Reasonable., What if everyone starts demanding their independence?
I always thought this would be a homecoming. It doesn't feel like home., We won't stay on Dragonstone for long.
"If Viserys had three dragons and an army at his back, he'd have invaded King's Landing already.", Conquering Westeros would be easy for you. But you're not here to be queen of the ashes.
So you took it upon yourself to find a better one.," Your Grace, when I was ready to drink myself into a small coffin, Lord Varys told me about a queen in the east who--"
To keep yourself alive., Lord Varys has proven himself a loyal servant.
"Your Grace, forgive me, but your translation is not quite accurate. That noun has no gender in High Valyrian, so the proper translation for that prophecy would be the prince or princess who was promised will bring the dawn."," Doesn't really roll off the tongue, does it?"
"Prophecies are dangerous things. I believe you have a role to play, as does another. The King in the North, Jon Snow.", Jon Snow? Ned Stark's bastard?
You know him?, I traveled with him to the Wall when he joined the Night's Watch.
"Summon Jon Snow. Let him stand before you and tell you things that have happened to him, the things that he has seen with his own eyes."," I can't speak to prophecies or visions in the flames, but I like Jon Snow and I trusted him, and I am an excellent judge of character."
"If you want the Iron Throne, take it. We have an army, a fleet, and three dragons. We should hit King's Landing now. Hard. With everything we have. The city will fall within a day."," If we turn the dragons loose, tens of thousands will die in the firestorms."
"It's called war. You don't have the stomach for it, scurry back into hiding.", I know how you wage war. We don't poison little girls here. Myrcella was innocent.
We will lay siege to the capital surrounding the city on all sides. Cersei will have the Iron Throne but no food for her army or the people., But we won't use Dothraki and Unsullied.
And I suppose we're providing the Westerosi?, You are.
Unluckily for me., Missandei is the queen's most trusted advisor.
She is., Does she miss me terribly?
I didn't ask --," Well, it was. It wasn't. Anyway, she's much smarter than she lets on."
She's starting to let on., Good. At some point I want to hear how a Knight's Watch recruit became King in the North.
As long as you tell me how a Lannister became Hand to Daenerys Targaryen.," A long and bloody tale. To be honest, I was drunk for most of it."
My bannermen think I'm a fool for coming here.," Of course they do. If I was your hand I would have advised against it. General rule of thumb, Stark men don't fare well when they travel south."
Forgive me --," Your Grace, this is Ser Davos Seaworth."
"No. Of course not. But still, an oath is an oath. In perpetuity means -- what does perpetuity mean, Lord Tyrion?", Forever.
"Not to defeat Cersei. You could storm King's Landing tomorrow and the city would fall. Hell, we almost took it and we didn't even have dragons.", Almost.
You told me you liked this man., I do.
"In the time since he's met me he's refused to call me queen, he's refused to bow and now he's calling me a child.", I believe he's calling all of us children. Figure of speech.
The Army of the Dead is on the march., The Army of the Dead?
"You don't know me well, My Lord, but do you think I am a liar or a madman?"," No, I don't think you're either of those things."
If we don't put asside our enmities and band together we will die. And then it doesn't matter whose skeleton sits on the Iron Throne., If it doesn't matter you might as well kneel.
There's no time for that. There's no time for any of this. While we stand here debating --, It takes no time to bend the knee. Pledge your sword to her cause.
I'm a prisoner on this island.," I wouldn't say you're a prisoner on this island. You're free to walk the castle, the beaches, to go wherever you want."
Except to my ship. They took my ship., I wouldn't say we took your ship.
I'm not playing word games with you. The dead are coming for us all.," Why don't you figure out what to do about my missing fleet and murdered allies, and I'll figure out what to do about your walking dead men."
You probably don't believe me., I do actually.
You didn't before. Grumpkins and snarks you called them. Do you remember? You said it was all nonsense.," It was all nonsense. Everybody knew it. But then Mormont saw them and you saw them, and I trust the eyes of an honest man more than I trust what everybody knows."
How do I convince people who don't know me that an enemey they don't believe in is coming to kill them all?, Good question.
I know it's a good question. I'm looking for an answer.," People's minds aren't made for problems that large. White Walkers, the Night King, Army of the Dead, it's almost a relief to confront a familiar monster like my sister."
I need to help prepare my people for what's coming. I can't help them from here. I'd like to leave., It seems unlikely that you became King in the North by giving up that easily.
"Everyone told me to learn from my father's mistakes. Don't go south. Don't answer a summons from the Mad King's daughter, a foreign invader. And here I am. A northern fool."," Children are not their fathers, luckily for all of us. And sometimes there's more to foreign invaders than northern fools that meets the eye. Daenerys could have sailed for Westeros long ago but she didn't. Instead she stayed where she was and saved many people from horrible fates some of whom are on this island with us right now. While you're our guest here you might consider asking them what they think of the Mad King's daughter. She protects people from monsters, just as you do. That's why she came here. And she's not about to head north to fight an enemy she's never seen on a word of a man she doesn't know after a single meeting. That's not a reasonable thing to ask."
What do you mean?, Maybe you are a northern fool. I'm asking if there's something I can do to help you.
Dragonglass?," Yes. Volcanic glass, obsidian. He says you have a tremendous amount of it here."
Why are we talking about glass? We just lost two of our allies.," Which is why I was speaking to Jon Snow, a potential ally."
And what does the King in the North want with Dragonglass?," Apparently it can be turned into weapons that kill White Walkers and their foot soldiers, or stop them, destroy them. I'm unsure of the nomenclature."
And what do you think of this Army of the Dead and White Walkers and Night Kings?," I'd very much like to believe that Jon Snow is wrong, but a wise man once said that you should never believe a thing simply because you want to believe it."
Which wise man said this?, I don't remember.
Are you trying to present your own statements as ancient wisdom?," I would never do that...to you. The reason I believe Jon Snow is because he's here. All of his advisors would have told him not to come. I would have told him not to come, yet he's here anyway. You don't have to believe him. Let him mine the Dragonglass. If he's wrong it's worthless. You didn't even know it was here. It's nothing to you. Give him something by giving him nothing. Take a step toward a more productive relationship with a possible ally. Keep him occupied while we focus on the task at hand. Casterly Rock."
What was that Ser Davos said about taking a knife in the heart for his people? Did you notice that?, You must allow them their flights of fancy. It's dreary in the north.
They can still do something to you. It only takes one arrow., It's too great a risk. You're too important.
A difficult situation. They know we're coming., Yes. Cersei believes my sole purpose in life is to destroy House Lannister. She will be ready.
What is it?, We took Casterly Rock.
You will stay. All my allies are gone. They've been taken from me while I've been sitting here on this island., We still have the largest army.
Who won't be able to eat because Cersei has taken all the food from the Reach., Call Grey Worm and the Unsullied back. We still have enough ships to carry the Dothraki to the mainland. Commit to the blockade of King's Landing. We have a plan. It's still the right plan.
"The right plan? Your strategy has lost us Dorne, the Iron Islands and the Reach.", If I've underestimated our enemies --
I have three large dragons. I'm going to fly them to the Red Keep., We've discussed this.
My enemies are in the Red Keep. What kind of a queen am I if I'm not willing to risk my life to fight them?, A smart one.
I already have a queen.," My sister, she wasn't your queen until recently though, was she, until she murdered your rightful queen and destroyed House Tyrell for all time. So it appears your allegiances are somewhat flexible."
"I'm Dickon Tarley, son of Randyll Tarley.", You are the future of your house. This war has already wiped one great house from the world. Don't let it happen again. Bend the knee.
I meant what I said. I'm not here to put men in chains. If that becomes an option many will take it. I gave them a choice. They made it.," Your Grace, if you begin beheading entire families --"
Not burn him alive alongside his son.," I am her hand, not her head. I can't make her decisions for her."
Jon Snow., Did you read it?
And give the country to Cersei? As soon as I march away she marches in., Perhaps not. Cersei thinks the Army of the Dead is nothing but a story made up by wet nurses to frighten children. What if we prove her wrong?
I thought that was what we are trying to avoid., We don't have to bring the whole army. Only one soldier.
The first White I ever saw was brought into Castle Black from beyond the Wall., Bring one of these things down to King's Landing and show her the truth.
Anything you bring back will be useless unless Cersei grants us an audience and is somehow convinced not to murder us the moment we set foot in the capital., The only person she listens to is Jaime. He may listen to me.
I've got my own business in Flea Bottom., What if someone takes the boat?
Don't talk about our father., Listen to me --
What do you want?, Daenerys will win this war. You're a military man. You must know there is no way around it. Daenerys is not her father. She's even willing to suspend hostilities if Cersei agrees to certain terms.
You want Cersei to bend the knee you can ask her yourself., I -- I don't. Daenerys doesn't. Not right now anyway. She has a more important request.
Where did you get that scar?, Fish hook. Some men you just can't teach.
This is Gendry., He'll do.
You're not a hero., Oh. I've been heroic on occasion.
"I don't want you to be a hero. Heroes do stupid things and they die. Drogo, Jorah, Dario, even this Jon Snow, they all try to outdo each other of who can do the stupidist, bravest thing."," It's interesting these heroes you name. Drogo, Jorah, Dario, even this Jon Snow, they all fell in love with you."
Jon Snow's not in love with me.," Oh, my mistake. I suppose he stares at you longingly because he's hopeful for a successful military alliance."
He's too little for me. I didn't mean, As heroes go he is quite little.
"So if all goes well, I'll finally get to meet your sister. From everything you've told me about her she'd rather murder me than speak with me."," Oh first she'd torture you in some horrible way, then she'd murder you. Nobody trusts my sister less than I do, believe me. But if we go to the capital, we'll go with two armies, we'll go with three dragons, and anyone touches you, King's Landing burns down to the foundation stone."
And right now she's thinking of how to set a trap., Of course she is. And she's wondering what trap you're laying for her.
Are we? Laying any traps?," If we want to create a new and better world, I'm not sure deceit and mass murder is the best way to start."
Which war was won without deceit and mass murder?," Yes, you'll need to be ruthless if you're going to win the throne. You need to inspire a degree of fear. But fear is all Cersei has. It's all my father had, and Joffrey. It makes their power brittle. Because everyone beneath them longs to see them dead."
Aegon Targaryen got quite a long way on fear.," He did. But you once spoke to me of breaking the wheel. Aegon built the wheel. If that's the kind of queen you want to be, how are you different from all the other tyrants that came before you?"
So we walk into the lion's den?, My brother promised me he'd keep a grip on the Lannister forces.
"Forgive me, but I don't care about any Lannister promises. Except yours.", And I promised him I'd keep you from doing anything impulsive.
And?, And you've been known to lose your temper from time to time. As all our great leaders do
When have I lost my temper?, Burning the Tarlys for instance.
That was not impulsive. That was necessary., Perhaps.
Perhaps., Perhaps the father needed to die and not the son. Perhaps they both needed time to contemplate the mistakes in the solitude of a cold cell. We had no time to discuss the possibilities before you ended their possibilities.
One can be forgiven for thinking you're taking your family's side in this debate.," I am taking their side. You need to take your enemy's side if you're going to see things the way they do. And you need to see things the way they do if you're going to anticipate their actions, respond effectively and beat them. Which I want you to do very much. Because I believe in you and the world you want to build. But the world you want to build doesn't get built all at once. Probably not in a single lifetime. How do we ensure your vision endures? After you break the wheel, how do we make sure it stays broken?"
"You want to know who sits on the Iron Throne after I'm dead, is that it?"," You say you can't have children. But there are other ways of choosing a successor. The Night's Watch has one method, The Iron born folk, although many flaws"
We will discuss the succession after I wear the crown.," Your Grace, I saw hundreds of arrows fly towards you when you fought on Blackwater Rush, and I saw hundred of arrows miss. But any one of them could have found your heart and end"
"You've been thinking about my death quite a bit, haven't you? Is this one of the items you've discussed with your brother in King's Landing?", I'm trying to serve you by planning for the long term.
Who else can?, No one. They knew the risk when they left. You can't win the throne if you're dead. You can't break the wheel if you're dead.
So what would you have me do?," Nothing. Sometimes nothing is the hardest thing to do. If you die we're all lost. Everyone, everything"
How many people live here?," A million, give or take."
That's more people than the entire North crammed into that. Why would anyone want to live that way?, There's more work in the city. And the brothels are far superior.
"Dragons don't understand the difference between what is theirs and what isn't. Land, livestock, children... Letting them roam free around a city was a problem."," I imagine it was a sad joke at the end. An entire arena for a few sickly creatures smaller than dogs. But in the beginning, when it was home to Balerion the Dread, it must have been the most dangerous place in the world."
"I never thought I'd see you again, my lord."," Supporting the enemy, no less."
Hard to blame you., Cersei will anyway.
Come on! You can suck his magic cock later., (Shakes his head.)
"It is, my lord."," I don't think I'm anyone's lord anymore, Podrick. Save the titles for Ser Bronn of the Blackwater."
I'm sure your new queen will be happy to restore yours if she ends up on the throne.," You've been thinking about our new queen? Perhaps you’ve been reconsidering your allegiances. Remember my offer – whatever they’re paying you, I’ll pay double.”"
Don't you worry about me. I'm doing all right. Looking after myself.," Are you? Helping me to arrange this meeting wasn't exactly looking after yourself, was it? You put yourself at risk."
"I put yourself at risk. Important difference. It's your head Queen Cersei's offered a bag of gold for, it's not mine. Now, thanks to me, she's got two traitors' heads coming right through her door. She can lop them both off as soon as she gets tired of the clever words that pour out their pieholes. All thanks to Ser Bronn of the fucking Blackwater. If that's not looking after myself, I don't know what is.", It's good to see you again.
I left this shit city because I didn't want to die in it. Am I going to die in this shit city?, You might.
And this is all your idea. Seems every bad idea has some Lannister cunt behind it., And some Clegane cunt to help them see it through.
Where is she?, She'll be here soon.
Didn't travel with you?, No.
His wasn't even good., He explained it at the end. Never explain. It always ruins it.
"So instead, we should settle our differences and live together in harmony for the rest of our days?", We all know that will never happen.
The word of a would-be usurper., There is no conversation that will erase the last 50 years. We have something to show you.
I know!," I'm pleased you bent the knee to our queen I would have advised it, had you asked. But have you ever considered learning how to lie every now and then? Just a bit?"
"I'm not going to swear an oath I can't uphold. Talk about my father if you want, tell me that’s the attitude that got him killed. But when enough people make false promises, words stop meaning anything. Then there are no more answers, only better and better lies, and lies won’t help us in this fight.", That is indeed a problem. The more immediate problem is that we're fucked.
Any ideas as to how we might change that state of affairs?," Only one. Everyone stays here, and I go and talk to my sister."
I didn't come all this way to have my Hand murdered., I don't want Cersei to murder me either. I could have stayed in my cell and saved a great deal of trouble.
I did this. I should go., She'll definitely murder you. I go see my sister alone. Or we all go home and we’re right back where we started.
"At her until she kicked me out. She thinks I was an idiot to trust you. A lot of people seem to think that, actually."," I'm about to step into a room with the most murderous woman in the world who's already tried to kill me twice, that I know of. Who's an idiot?"
"I shouldn't be surprised, I suppose. She's your kind of woman a foreign whore who doesn't know her place."," A foreign whore you can't abduct, beat, or intimidate. That must be difficult for you."
"So you bring her here with her pet Northerner, whom you've convinced to bow down before her.", I didn't know about that.
"And now you've got them both working towards the same goal, the goal you've worked towards your entire life."," Cersei, I didn't know."
the destruction of this family., I am the one preventing that from happening. Daenerys didn't want to debate and negotiate. She didn't want to bring you words. She wanted to bring you fire and blood until I advised her otherwise. I don't want to destroy our family. I never have.
You killed our father," After he sentenced me to death for a crime I didn't commit, yes, I killed him. Hate me for it if you want. I hate myself for it in spite of what he was, in spite of what he did to me."
"Oh, poor little man. Your papa was mean to you. Do you have any idea what you did when you fired that crossbow? You left us open. You laid us bare for the vultures, and the vultures came and tore us apart. You may not have killed Joffrey, but you killed Myrcella, you killed Tommen. No one would've touched them if Father was here, no one would have dared-", I have never been more sorry about anything.
"I will not hear it, not from you.", (starts)
I will not hear it!," All right. You love your family, and I have destroyed it. I will always be a threat. So put an end to me."
I will not, I don't care. I loved them. You know I did. You know it in your heart if there's anything left of it.
It doesn't matter. Your love doesn't matter. Your feelings don't matter. I don't care why you did what you did. I only care what it cost us. It cost us our future.," If there's no future, then why are we here? Why did you allow me to come?"
Not to help my enemies collaborate in my destruction.," Yes, no, not what you hoped for, but you must have hoped for something."
What did you hope for? To make Jon Snow submit to your queen.," Mm, not like this."
"But eventually, you want everyone to bend the knee to her.", Yes.
Why?, Because I think she will make the world a better place.
You said she'd destroy King's Landing., She knows herself. She chose an advisor who would check her worst impulses instead of feeding them.
"That thing you dragged here, I know what it is, I know what it means. And when it came at me, I didn't think about the world. Not at all. As soon as it opened its mouth, the world disappeared for me, right down its black throat. All I could think about was keeping those gnashing teeth away from the ones who matter most, away from my family. Maybe Euron Greyjoy had the right idea. Get on a boat, take those who matter.", You're pregnant.
"You take great offense at dwarf jokes, but love telling eunuch jokes. Why is that?"," Because I have balls, and you don't."
"So does Hand of the Queen. Depending on the queen, I suppose.", Last time we spoke was at Joffrey's wedding. Miserable affair.
Apologies for leaving like that.," Yes, it was a bit hard to explain why my wife fled moments after the king's murder."
We both survived., Many underestimated you. Most of them are dead now.
Cersei told you her army was coming north to fight for you?, She did.
And you believed her?, She has something to live for now. I believe she wants to survive.
The Karstarks.," One of the better sigils. Beats an onion, anyway."
"Not so long ago, the Starks and the Karstarks were slaughtering each other on the battlefield. Jon Snow brought peace to the houses.", And our queen is grateful.
You overestimate our influence. Jon and Daenerys don't want to listen to lonely old men., I'm not that old.
"Of course she does. Respect is how the young keep us at a distance, so we don't remind them of an unpleasant truth.", What is that?
Like you knew your sister?," He came here alone, knowing full well how he'd be received. Why would he do that if he weren't telling the truth?"
"Either you knew Cersei was lying and let me believe otherwise, or you didn't know at all. Which makes you either a traitor or a fool.", I was a fool.
"Yes, here we are.", Together again.
How do they feel about their new queen?, She's your new queen too.
And she is? Different?, She is.
You're sure about her?, I am.
She didn't seem sure about you., It's hard to blame her. I made a mistake common to clever people. I underestimated my opponents.
Hmm., Cersei told me the pregnancy had changed her. A chance for you both to start again. And I believed her.
What?," She never fooled you. You always knew exactly what she was, and you loved her anyway."
Your cock., My cock.
"That's what death is, isn't it? Forgetting. Being forgotten. If we forget where we've been and what we've done, we're not men anymore. Just animals. Your memories don't come from books. Your stories aren't just stories. If I wanted to erase the world of men, I'd start with you.", How will he find you?
We'll hold off the rest of them for as long as we can.," When the time comes, Ser Davos and I will be on the walls, to give you the signal to light the trench."
No., You've had a strange journey.
Stranger than most., I'd like to hear about it.
That would be something to see.," I remember the first time we were here, the first time I saw this hall."
Mm., You were a golden lion. I was a drunken whore-monger. It was all so simple.
It wasn't so simple. I was sleeping with my sister and you had one friend in the world who was sleeping with his sister., I was speaking in relative terms.
Do you miss it?, Of course I miss it.
"Oh, we didn't mean to interrupt. We were just looking for somewhere warm to-", To contemplate your imminent death. You've come to the right place. You want some of this piss? It's not bad. It's not good either.
Half cup., And you?
"Well, what do we have here?"," Ser Davos, join us."
Here fighting with us. Glad you survived Eastwatch., Would you like a drink?
At least we'll die with honor., I think we might live.
All without a shred of combat ability.," Mm. Ser Jaime Lannister, fabled hero of the Siege of Pyke."
We'd better get some rest.," No, let's stay a bit longer."
Mm-mm., Mmm.
(Sighs.) At least we're already in a crypt.," If we were up there, we might see something everyone else is missing. Something that makes a difference."
(Scoffs.), What? Remember the Battle of Blackwater? I brought us through the Mud Gate.
And got your face cut in half., And it made a difference. If I was out there right now...
"Witty remarks won't make a difference. That's why we're down here, none of us can do anything. It's the truth. It's the most heroic thing we can do now look the truth in the face.", Maybe we should have stayed married.
You were the best of them., What a terrifying thought.
It wouldn't work between us., Why not?
"(to GENDRY) Uh, hold on.", And a Lord of Storm's End who will be forever loyal to you.
"The last time I saw her, I told her I'd kill her if I ever saw her again.", I'm sure you had your reasons.
I did. I do., So did you?
"Never got the chance. She did it to herself. Or her god did it to her. Lord of Light. We play his game for him, we fight his war and win, and then he fucks off. No signs, no blessings. Who knows what he wants?", I don't imagine thinking about that subject will leave you any happier than before.
And what if I'm not trying to be happy?," Then you're in luck. We may have defeated them, but we still have us to contend with."
It's the same as the one Daeron Targaryen built for his crippled nephew 120 years ago. I liked that one., You know our history better than anyone. That will be useful as Lord of Winterfell.
I'm not Lord of Winterfell., You're the only surviving trueborn son of Ned Stark.
I don't really want anymore., I envy you.
I surmised it., Drink.
Why does he get to go again?, Because it's my game.
(to Brienne) No., Drink.
"You're drinking wine, but you prefer ale!", No!
That's a statement about the present.," At no point in the past, up until this very moment, have you slept with a man. Or a woman."
Cersei will make sure they don't believe it. We will hit her hard. We will rip her out root and stem., The objective here is to remove Cersei without destroying King's Landing.
"No matter how many lords turn against her, as long as she sits on the Iron Throne, she can call herself Queen of the Seven Kingdoms. We need the capital."," I watched the people of King's Landing rebel against their king when they were hungry, and that was before winter began. Give them the opportunity and they will cast Cersei aside."
"We'll surround the city. If the Iron Fleet tries to ferry in more food, the dragons will destroy them. If the Lannisters and the Golden Company attack, we'll defeat them in the field."," Once the people see that Cersei is our only enemy, her reign is over."
"She's sworn to protect the Stark girls, so... Say something snide.", I'm happy. I'm happy that you're happy. I'm happy that you'll finally have to climb for it.
What? That's not your concern., I haven't been with a woman for years. Give me a morsel.
You're a dog.," I am the Imp, and I demand to know."
I knew you were fucking her. A pair of tall blond toffs. Must be like looking in the mirror.," Ser Bronn of the Blackwater. Where's your drink? What are you, what are you doing up North?"
"Oh, this? This is for you. For both of you.", You're supposed to be south.
You boys are a pair of gold-plated cunts. Do you know that?, That's a bit rude.
"Year after year, I've shoveled Lannister shit, and what do I have to show?"," You're a knight, thanks to me."
Shut your mouth., I'm just trying-
"I've never hit a dwarf before, but say another word and I will belt you."," See, I don't believe you'd do that, after all-"
I did not break your nose., How do you know?
"Mmm, that's good. Of course, the odds change if the Dragon Queen's Hand turns up dead. Maybe a few of her top generals get picked off one by one. All of a sudden-", May I speak?
Why not? Only death will shut you up., We made a deal long ago. Do you remember?
"If anyone offered me money to kill you, you'd pay me double. What's double Riverrun?", Highgarden. You could be Lord of the Reach.
Highgarden? Are you mad?, It's better than being dead.
Highgarden. Give me your word., You have my word. None of this means a thing until we take King's Landing. We ride south in the morning. We could use an officer with knowledge of the city's defenses.
Why her?, You know she loves your brother.
That doesn't mean she'll be a good queen.," You seem determined to dislike her. A good relationship between the Iron Throne and the North has been the core of every peaceful, prosperous reign we've ever known."
"Jon will be Warden of the North, so a good relationship seems likely.", I don't expect him to spend much time here going forward.
"Well, I suppose that's up to him."," Sansa, look at me."
What are you worried about? Jon's taking our army with him. Your queen still has her dragons--, She's your queen too.
You're afraid of her., Every good ruler needs to inspire a bit of fear.
I don't want Jon to go down there. The men in my family don't do well in the capital.," No, but as your brother once told me, he's not a Stark."
"Well, then it's not a secret anymore. It's information. If a handful of people know now, hundreds will know soon. Then what happens?"," She loses the North. She loses the Vale, Sansa will make sure of that."
"No, it's worse than that. He has the better claim to the throne.", He doesn't want the throne.
"I'm not sure it matters what he wants. The fact is, people are drawn to him. Wildlings, Northmen. He's a war hero."," He loves our queen. And she loves him. If we marry them, they could rule together."
(with distaste) She's his aunt., That never stopped a Targaryen before.
"No, but Jon grew up in Winterfell. Is marrying your aunt common in the North? You know our queen better than I do. Do you think she wants to share the throne? She does not like to have her authority questioned.", Something she has in common with every monarch who ever lived.
I worry about her state of mind., We are advisors to the queen. Worrying about her state of mind is our job. We still have to take King's Landing. Maybe Cersei will win and kill us all. That would solve our problems.
I've served tyrants most of my life. They all talk about destiny., She's a girl who walked into a fire with three stones and walked out with three dragons. How could she not believe in destiny?
Perhaps that's the problem. Her life has convinced her that she was sent here to save us all., And how do you know she wasn't?
Have you considered the best ruler might be someone who doesn't want to rule?, We're discussing treason.
Don't pretend you haven't thought about it., Of course I've thought about it. Thoughts aren't treason.
"He's temperate and measured. He's a man, which makes him more appealing to the lords of Westeros, whose support we are going to need."," Joffrey was a man. I don't think a cock is a true qualification, as I'm sure you'd agree."
"And he's the heir to the throne. Yes, because he's a man. Cocks are important, I'm afraid.", What about my earlier proposal? They could rule together as king and queen.
"She's too strong for him. She'd bend him to her will, as she already has.", He could temper her worst impulses.
As you have? You're drinking quite a lot. A Targaryen father and a Stark mother. Jon's the one man alive who might actually be able to keep the North in the Seven Kingdoms., How many kings and queens have you served? Five? Six? I've lost count.
You've always known my reasons.," At a certain point, you choose a person you believe in, and you fight for that person."
Even if you know it's a mistake?, I believe in our queen. She'll make the right choice. With the help of her loyal advisers.
You know where my loyalty stands. You know I will never betray the realm.," What is the realm? A vast continent, home to millions of people, most of whom don't care who sits on the Iron Throne."
"Millions of people, many of whom will die if the wrong person sits on that throne. We don't know their names, but they're just as real as you and I. They deserve to live. They deserve food for their children. I will act in their interest, no matter the personal cost."," So, what happens to her?"
My lord., Queen Daenerys demands Cersei's unconditional surrender and the immediate release of Missandei of Naath.
"Queen Cersei demands Daenerys's unconditional surrender. If she refuses, Missandei of Naath will die here and now."," Qyburn, you're a rational man."
"Or so I flatter myself, my lord."," We have a chance here, perhaps our last chance, to avoid carnage."
Yes., Help me. I don't want to see this city burn. I don't want to hear the screams of children burning alive.
"No, it is not a pleasant sound.", I- I don't want to hear it. Help me save this city.
"My lord, I am only a mouthpiece for our queen.", Your queen.
Cersei is Queen of the Seven Kingdoms. You are her subject., Her reign is over. You understand this. Help her understand it.
Jon Snow., Varys.
He knows the truth about Jon., He does.
"Because you told him. You learned from Sansa. And she learned from Jon, though I begged him not to tell her. As I said, he betrayed me.", I'm glad Sansa told me. I am your Hand. I need to be aware of any threats you're facing.
And Varys?, Your Master of Whisperers needs to be aware too.
(angrily) You spoke to him first. Without coming to me. Without asking my permission., It was a mistake.
Why do you think Sansa told you? What do you think she hoped to gain?, She trusts me.
"Yes, she trusts you. She trusted you to spread secrets that could destroy your own queen. And you did not let her down."," If I have failed you, my queen, forgive me. Our intentions were good. We wanted what you want. A better world, all of us. Varys as much as anyone."
